row,col,action,q_value
0,0,0,-1.9836941046095409
0,0,1,41.8187621021319
0,0,2,42.61265899999975
0,0,3,-1.9836941046095409
0,1,0,-1.3994164535871152
0,1,1,5.6807708613152
0,1,2,48.426833920490054
0,1,3,2.516242751235648
0,2,0,-0.8648275251635912
0,2,1,7.286472892998859
0,2,2,50.31901401434481
0,2,3,5.967085701037362
0,3,0,-0.490099501
0,3,1,0.39164211193330434
0,3,2,60.34857884769475
0,3,3,-0.5348414147359732
0,4,0,-0.490099501
0,4,1,-0.490099501
0,4,2,-0.54041581
0,4,3,13.444736917176487
1,0,0,36.18960442892259
1,0,1,48.45850999999976
1,0,2,27.518772379780877
1,0,3,-1.3125418723102174
1,1,0,36.23298513167307
1,1,1,54.95389999999976
1,1,2,34.5965365794269
1,1,3,40.105898776298226
1,2,0,34.58683809762384
1,2,1,62.170999999999765
1,2,2,40.974420527118454
1,2,3,39.35919685018178
1,3,0,46.154105431671546
1,3,1,39.1305544652493
1,3,2,70.18999999999977
1,3,3,51.52098989245259
1,4,0,-0.4429252048472641
1,4,1,-0.3940399
1,4,2,-0.377119
1,4,3,57.05234764183089
2,0,0,39.6923991686678
2,0,1,6.778273516389319
2,0,2,-0.9253954928643222
2,0,3,-0.9561792499119552
2,1,0,46.60254788076899
2,1,1,-0.6003072251010051
2,1,2,0.015303758788315913
2,1,3,3.5311855891833384
2,2,0,54.3608348345403
2,2,1,0.9670571339285448
2,2,2,-0.336295
2,2,3,3.3066705796082316
2,3,0,60.09187522511952
2,3,1,68.48546931317456
2,3,2,79.09999999999982
2,3,3,35.42355947629589
2,4,0,-0.21601000000000004
2,4,1,-0.199
2,4,2,88.64651547256335
2,4,3,24.007769572510526
3,0,0,-0.6583119198586027
3,0,1,0.001014841019503998
3,0,2,-0.525916
3,0,3,-0.490099501
3,1,0,-0.31463722000000005
3,1,1,7.5571601109416315
3,1,2,-0.2881
3,1,3,-0.3138499
3,2,0,-0.2881
3,2,1,75.71321108279415
3,2,2,-0.199
3,2,3,-0.10900000000000001
3,3,0,68.16480143289078
3,3,1,88.99999999999989
3,3,2,54.26584424471968
3,3,3,56.6844849612844
3,4,0,71.926875508367
3,4,1,-0.1
3,4,2,99.99999999999994
3,4,3,77.01512619777192
4,0,0,-0.393967
4,0,1,-0.45877510000000005
4,0,2,-0.3940399
4,0,3,-0.3940399
4,1,0,-0.2724953529818234
4,1,1,-0.28
4,1,2,-0.29701
4,1,3,-0.3058309
4,2,0,-0.13555675
4,2,1,-0.1630684
4,2,2,-0.1
4,2,3,-0.10900000000000001
4,3,0,74.22347145434331
4,3,1,19.0
4,3,2,0.0
4,3,3,0.0
4,4,0,0.0
4,4,1,0.0
4,4,2,0.0
4,4,3,0.0
